condition,seed,n_nodes,target,channel,lag_s,group,r2,nrmse
memoryless,3,48,Resp t-3s,Resp,3,fast 1-3 s,0.03975288,0.97992200
memoryless,3,48,Resp t-8s,Resp,8,mid 8 s,-0.00873926,1.00436012
memoryless,3,48,Resp t-20s,Resp,20,slow 20-45 s,-0.00192133,1.00096021
memoryless,3,48,Resp t-45s,Resp,45,slow 20-45 s,-0.00219738,1.00109809
memoryless,3,48,Temp t-1s,Temp,1,fast 1-3 s,0.99470589,0.07276064
memoryless,3,48,Temp t-3s,Temp,3,fast 1-3 s,0.99394490,0.07781450
memoryless,3,48,Temp t-8s,Temp,8,mid 8 s,0.98968194,0.10157785
memoryless,3,48,Temp t-20s,Temp,20,slow 20-45 s,0.97414059,0.16080860
memoryless,3,48,Temp t-45s,Temp,45,slow 20-45 s,0.93701511,0.25096792
memoryless,3,48,HR t-1s,HR,1,fast 1-3 s,0.95012058,0.22333700
memoryless,3,48,HR t-3s,HR,3,fast 1-3 s,0.77151220,0.47800398
memoryless,3,48,HR t-8s,HR,8,mid 8 s,0.69300573,0.55407064
memoryless,3,48,HR t-20s,HR,20,slow 20-45 s,0.61350880,0.62168417
memoryless,3,48,HR t-45s,HR,45,slow 20-45 s,0.56972353,0.65595462
memoryless,4,48,EDA t-1s,EDA,1,fast 1-3 s,0.99857645,0.03772996
memoryless,4,48,EDA t-3s,EDA,3,fast 1-3 s,0.99685545,0.05607630
memoryless,4,48,EDA t-8s,EDA,8,mid 8 s,0.99401311,0.07737500
memoryless,4,48,EDA t-20s,EDA,20,slow 20-45 s,0.98684432,0.11469819
memoryless,4,48,EDA t-45s,EDA,45,slow 20-45 s,0.96465553,0.18800126
memoryless,4,48,Resp t-1s,Resp,1,fast 1-3 s,0.02681180,0.98650302
memoryless,4,48,Resp t-3s,Resp,3,fast 1-3 s,0.03321557,0.98325197
memoryless,4,48,Resp t-8s,Resp,8,mid 8 s,-0.00804570,1.00401479
memoryless,4,48,Resp t-20s,Resp,20,slow 20-45 s,-0.00172460,1.00086193
memoryless,4,48,Resp t-45s,Resp,45,slow 20-45 s,-0.00314981,1.00157367
memoryless,4,48,Temp t-1s,Temp,1,fast 1-3 s,0.99470335,0.07277810
memoryless,4,48,Temp t-3s,Temp,3,fast 1-3 s,0.99393943,0.07784964
memoryless,4,48,Temp t-8s,Temp,8,mid 8 s,0.98967738,0.10160029
memoryless,4,48,Temp t-20s,Temp,20,slow 20-45 s,0.97410479,0.16091990
memoryless,4,48,Temp t-45s,Temp,45,slow 20-45 s,0.93661270,0.25176835
memoryless,4,48,HR t-1s,HR,1,fast 1-3 s,0.95000199,0.22360236
memoryless,4,48,HR t-3s,HR,3,fast 1-3 s,0.77062135,0.47893491
memoryless,4,48,HR t-8s,HR,8,mid 8 s,0.69372648,0.55341984
memoryless,4,48,HR t-20s,HR,20,slow 20-45 s,0.61430779,0.62104123
memoryless,4,48,HR t-45s,HR,45,slow 20-45 s,0.57078499,0.65514503
memoryless,5,48,EDA t-1s,EDA,1,fast 1-3 s,0.99857667,0.03772708
memoryless,5,48,EDA t-3s,EDA,3,fast 1-3 s,0.99685326,0.05609585
memoryless,5,48,EDA t-8s,EDA,8,mid 8 s,0.99399945,0.07746323
memoryless,5,48,EDA t-20s,EDA,20,slow 20-45 s,0.98680322,0.11487724
memoryless,5,48,EDA t-45s,EDA,45,slow 20-45 s,0.96453008,0.18833461
memoryless,5,48,Resp t-1s,Resp,1,fast 1-3 s,0.03133094,0.98420986
memoryless,5,48,Resp t-3s,Resp,3,fast 1-3 s,0.03900015,0.98030600
memoryless,5,48,Resp t-8s,Resp,8,mid 8 s,-0.00857034,1.00427603
memoryless,5,48,Resp t-20s,Resp,20,slow 20-45 s,-0.00169175,1.00084552
memoryless,5,48,Resp t-45s,Resp,45,slow 20-45 s,-0.00304977,1.00152372
memoryless,5,48,Temp t-1s,Temp,1,fast 1-3 s,0.99470458,0.07276960
memoryless,5,48,Temp t-3s,Temp,3,fast 1-3 s,0.99393899,0.07785248
memoryless,5,48,Temp t-8s,Temp,8,mid 8 s,0.98967426,0.10161566
memoryless,5,48,Temp t-20s,Temp,20,slow 20-45 s,0.97405893,0.16106231
memoryless,5,48,Temp t-45s,Temp,45,slow 20-45 s,0.93644439,0.25210239
memoryless,5,48,HR t-1s,HR,1,fast 1-3 s,0.94978241,0.22409281
memoryless,5,48,HR t-3s,HR,3,fast 1-3 s,0.77193128,0.47756541
memoryless,5,48,HR t-8s,HR,8,mid 8 s,0.69451985,0.55270259
memoryless,5,48,HR t-20s,HR,20,slow 20-45 s,0.61482584,0.62062401
memoryless,5,48,HR t-45s,HR,45,slow 20-45 s,0.57212035,0.65412510
memoryless,6,48,EDA t-1s,EDA,1,fast 1-3 s,0.99857359,0.03776781
memoryless,6,48,EDA t-3s,EDA,3,fast 1-3 s,0.99684834,0.05613960
memoryless,6,48,EDA t-8s,EDA,8,mid 8 s,0.99398323,0.07756787
memoryless,6,48,EDA t-20s,EDA,20,slow 20-45 s,0.98671685,0.11525254
memoryless,6,48,EDA t-45s,EDA,45,slow 20-45 s,0.96437929,0.18873449
memoryless,6,48,Resp t-1s,Resp,1,fast 1-3 s,0.03063356,0.98456408
memoryless,6,48,Resp t-3s,Resp,3,fast 1-3 s,0.03744522,0.98109876
memoryless,6,48,Resp t-8s,Resp,8,mid 8 s,-0.00745967,1.00372290
memoryless,6,48,Resp t-20s,Resp,20,slow 20-45 s,-0.00169578,1.00084753
memoryless,6,48,Resp t-45s,Resp,45,slow 20-45 s,-0.00278844,1.00139325
memoryless,6,48,Temp t-1s,Temp,1,fast 1-3 s,0.99470539,0.07276408
memoryless,6,48,Temp t-3s,Temp,3,fast 1-3 s,0.99394260,0.07782933
memoryless,6,48,Temp t-8s,Temp,8,mid 8 s,0.98968537,0.10156097
memoryless,6,48,Temp t-20s,Temp,20,slow 20-45 s,0.97416232,0.16074104
memoryless,6,48,Temp t-45s,Temp,45,slow 20-45 s,0.93679292,0.25141018
memoryless,6,48,HR t-1s,HR,1,fast 1-3 s,0.94981555,0.22401886
memoryless,6,48,HR t-3s,HR,3,fast 1-3 s,0.77053691,0.47902306
memoryless,6,48,HR t-8s,HR,8,mid 8 s,0.69332688,0.55378075
memoryless,6,48,HR t-20s,HR,20,slow 20-45 s,0.61299586,0.62209657
memoryless,6,48,HR t-45s,HR,45,slow 20-45 s,0.56854706,0.65685077
memoryless,7,48,EDA t-1s,EDA,1,fast 1-3 s,0.99857706,0.03772184
memoryless,7,48,EDA t-3s,EDA,3,fast 1-3 s,0.99685777,0.05605564
memoryless,7,48,EDA t-8s,EDA,8,mid 8 s,0.99401567,0.07735845
memoryless,7,48,EDA t-20s,EDA,20,slow 20-45 s,0.98687502,0.11456429
memoryless,7,48,EDA t-45s,EDA,45,slow 20-45 s,0.96482114,0.18756027
memoryless,7,48,Resp t-1s,Resp,1,fast 1-3 s,0.03120611,0.98427328
memoryless,7,48,Resp t-3s,Resp,3,fast 1-3 s,0.03477693,0.98245767
memoryless,7,48,Resp t-8s,Resp,8,mid 8 s,-0.00781639,1.00390059
memoryless,7,48,Resp t-20s,Resp,20,slow 20-45 s,-0.00168903,1.00084416
memoryless,7,48,Resp t-45s,Resp,45,slow 20-45 s,-0.00276917,1.00138363
