device_id,host,cation,components,peo_mass_fraction,salt_mass_fraction,electrode,date,speed_rpm,anneal_C,n_pix_hyst,n_pix_npulse,n_pix_delay,n_flagged
NM_v239,PEO,Li,"SY, PEO, LiTr",0.6,0.09,,2023-09,2700,75.0,0,0,0,0
NM_v240,PEO,Li,"SY, PEO, LiTr",0.6,0.09,,2023-09,3000,75.0,0,0,0,0
NM_v242,PEO,Li,"SY, PEO, LiTr",0.6,0.09,Ag,2023-10,2350,75.0,2,1,1,0
NM_v143,PEO,Li,"SY, PEO, LiTr",0.6,0.18,Ag,2022-11,2000,75.0,4,1,1,0
NM_v154,PEO,Li,"SY, PEO, LiTr",0.6,0.18,Ag,2023-03,2900,75.0,4,1,1,1
NM_v217,PEO,Li,"SY, PEO, LiTr",0.6,0.18,,2023-09,1500,75.0,0,0,0,0
NM_v218,PEO,Li,"SY, PEO, LiTr",0.6,0.18,,2023-09,1800,75.0,0,0,0,0
NM_v219,PEO,Li,"SY, PEO, LiTr",0.6,0.18,,2023-09,2100,75.0,0,0,0,0
NM_v220,PEO,Li,"SY, PEO, LiTr",0.6,0.18,,2023-09,2400,75.0,0,0,0,0
NM_v221,PEO,Li,"SY, PEO, LiTr",0.6,0.18,,2023-09,2700,75.0,0,0,0,0
NM_v222,PEO,Li,"SY, PEO, LiTr",0.6,0.18,,2023-09,3000,75.0,0,0,0,0
NM_v245,PEO,Li,"SY, PEO, LiTr",0.6,0.18,Ag,2023-10,2100,75.0,3,1,1,0
NM_v156,PEO,Li,"SY, PEO, LiTr",1.2,0.045,Ag,2023-03,3350,75.0,4,1,1,0
NM_v263,PEO,Li,"SY, PEO, LiTr",1.2,0.045,Ag,2024-06,2900,75.0,2,1,1,0
NM_v264,PEO,Li,"SY, PEO, LiTr",1.2,0.045,Ag,2024-06,2900,75.0,2,1,1,0
NM_v144,PEO,Li,"SY, PEO, LiTr",1.2,0.09,Ag,2022-11,2000,75.0,3,1,1,1
